feature,benchmark,rho,p,n,q
geometry_spectral.avg_alpha,benchmark_mmlu_medical_genetics_acc,0.44868244617200576,0.0017631416094595336,46,0.005461256425910674
geometry_spectral.avg_alpha,benchmark_mmlu_miscellaneous_acc,0.4055512739023327,0.0051716138265752295,46,0.012518045388167195
geometry_spectral.avg_alpha,benchmark_mmlu_nutrition_acc,0.3856521650889805,0.008123485025095948,46,0.018673797337563327
geometry_spectral.avg_alpha,benchmark_mmlu_professional_accounting_acc,0.3604615625906743,0.013861216533458655,46,0.03333075423012591
geometry_spectral.avg_alpha,benchmark_mmlu_professional_medicine_acc,0.3512321541933229,0.016692110761225565,46,0.04136248463205385
geometry_spectral.avg_alpha,benchmark_mmlu_virology_acc,0.44749254654682585,0.001819724784471549,46,0.0049267363609211195
geometry_spectral.avg_alpha,benchmark_mmlu_social_sciences_acc,0.3553828601313639,0.015363579110648442,46,0.0344502341407485
geometry_spectral.avg_alpha,benchmark_mmlu_econometrics_acc,0.2926273129694043,0.04843738361496825,46,0.09647882131482777
geometry_spectral.avg_alpha,benchmark_mmlu_high_school_geography_acc,0.3771478145378279,0.009773661908069263,46,0.023121510856953503
geometry_spectral.avg_alpha,benchmark_mmlu_high_school_government_and_politics_acc,0.3404281733931899,0.020614273288819356,46,0.044190714880137684
geometry_spectral.avg_alpha,benchmark_mmlu_high_school_macroeconomics_acc,0.37402084817952247,0.010449047338085295,46,0.02527497128814516
geometry_spectral.avg_alpha,benchmark_mmlu_high_school_microeconomics_acc,0.36158335405529496,0.013546814566327517,46,0.031238868921089638
geometry_spectral.avg_alpha,benchmark_mmlu_high_school_psychology_acc,0.3791752813182922,0.009356115061485292,46,0.02257201356417739
geometry_spectral.avg_alpha,benchmark_mmlu_human_sexuality_acc,0.4012590248178341,0.005713753414032097,46,0.013605061060773494
geometry_spectral.avg_alpha,benchmark_mmlu_professional_psychology_acc,0.3738358114802252,0.01049023885815279,46,0.024038760518212195
geometry_spectral.avg_alpha,benchmark_mmlu_public_relations_acc,0.3838485863602348,0.008451755047968417,46,0.01955137006349656
geometry_spectral.avg_alpha,benchmark_mmlu_security_studies_acc,0.34662719416243476,0.018278719018723924,46,0.04086160123145929
geometry_spectral.avg_alpha,benchmark_mmlu_sociology_acc,0.35857731033761747,0.014403307618533347,46,0.031242782994504083
geometry_spectral.avg_alpha,benchmark_mmlu_us_foreign_policy_acc,0.3979013831517407,0.006171694208979145,46,0.015610755940359013
geometry_spectral.avg_alpha,benchmark_mmlu_stem_acc,0.3755628206736662,0.01011115325035876,46,0.026303391551645027
geometry_spectral.avg_alpha,benchmark_mmlu_abstract_algebra_acc,0.2771998843506018,0.06217376395999482,46,0.12350277569227232
geometry_spectral.avg_alpha,benchmark_mmlu_anatomy_acc,0.3229070423232976,0.02861167590694956,46,0.0624332390685974
geometry_spectral.avg_alpha,benchmark_mmlu_astronomy_acc,0.37022643503670405,0.011322074061994715,46,0.026358076876809352
geometry_spectral.avg_alpha,benchmark_mmlu_college_biology_acc,0.3101320876453056,0.03594423585910899,46,0.07550355291094446
geometry_spectral.avg_alpha,benchmark_mmlu_college_chemistry_acc,0.3473672703513886,0.018015453602140675,46,0.04434106593658193
geometry_spectral.avg_alpha,benchmark_mmlu_college_computer_science_acc,0.37360346901841185,0.010542158629933221,46,0.027720568195975483
geometry_spectral.avg_alpha,benchmark_mmlu_college_mathematics_acc,0.2803444959938904,0.05914710172972172,46,0.11499077490538982
geometry_spectral.avg_alpha,benchmark_mmlu_college_physics_acc,0.40539380714062623,0.005190680197070391,46,0.015238502907865284
geometry_spectral.avg_alpha,benchmark_mmlu_computer_security_acc,0.4049017107223667,0.005250659827265852,46,0.012769978906919964
geometry_spectral.avg_alpha,benchmark_mmlu_conceptual_physics_acc,0.3674111801599927,0.012009544397757919,46,0.02936112693900013
geometry_spectral.avg_alpha,benchmark_mmlu_electrical_engineering_acc,0.44322425971532065,0.002036173017196051,46,0.006075275410491075
geometry_spectral.avg_alpha,benchmark_mmlu_elementary_mathematics_acc,0.3682311102114063,0.011805730501018644,46,0.03220145147852473
geometry_spectral.avg_alpha,benchmark_mmlu_high_school_biology_acc,0.39214114544779377,0.00703183628251529,46,0.02023729260834125
geometry_spectral.avg_alpha,benchmark_mmlu_high_school_chemistry_acc,0.38514225842023087,0.008215157013734972,46,0.02266143312090666
geometry_spectral.avg_alpha,benchmark_mmlu_high_school_computer_science_acc,0.2934098839541242,0.04781222222160667,46,0.0937017009222372
geometry_spectral.avg_alpha,benchmark_mmlu_high_school_mathematics_acc,0.41492325799372687,0.004141323968063876,46,0.011779407862469624
geometry_spectral.avg_alpha,benchmark_mmlu_high_school_physics_acc,0.3270405485968286,0.02652402424161471,46,0.06214442859173191
geometry_spectral.avg_alpha,benchmark_mmlu_high_school_statistics_acc,0.3190472330807727,0.030682694058722378,46,0.08010374770330735
geometry_spectral.avg_alpha,benchmark_mmlu_machine_learning_acc,0.31028847166020523,0.03584592452598362,46,0.07752476576477522
geometry_spectral.avg_alpha,benchmark_boolq_acc,-0.406060606060606,0.24428229408662647,10,0.41913034437602065
geometry_spectral.avg_alpha,benchmark_copa_acc,-0.10334394242561099,0.7763340602409097,10,0.9416548743607008
geometry_spectral.avg_alpha,benchmark_openbookqa_acc,-0.1702135522304181,0.6382593583672792,10,0.8561754190083919
geometry_spectral.avg_alpha,benchmark_sciq_acc,-0.3161108827136336,0.3735613327078875,10,0.5663121573471172
geometry_spectral.avg_alpha,benchmark_commonsense_qa_acc,-0.11515151515151514,0.7514196523258485,10,0.8799693988436745
geometry_spectral.avg_alpha,benchmark_triviaqa_exact_match,-0.23636363636363633,0.5108853175152003,10,0.7217613847448786
geometry_spectral.avg_alpha,benchmark_nq_open_exact_match,-0.2553203283456271,0.4764934533513361,10,0.7046584699895037
geometry_spectral.avg_alpha,benchmark_gsm8k_exact_match,-0.14285714285714288,0.735764859879812,8,0.8802664269553067
geometry_spectral.avg_alpha,benchmark_drop_em,0.408248290463863,0.3632174676491228,7,0.703138188102092
geometry_spectral.avg_alpha,benchmark_truthfulqa_mc2_acc,-0.24848484848484845,0.4887763045192432,10,0.6719409238111335
geometry_spectral.avg_alpha,benchmark_lambada_openai_acc,-0.1702135522304181,0.6382593583672792,10,0.8408813768965742
geometry_spectral.avg_alpha,composite_benchmark,0.33624225246490125,0.022329471217965226,46,0.045979840733331216
geometry_spectral.avg_stable_rank,benchmark_arc_challenge_acc,0.7228150263548522,1.4081467430237714e-08,46,1.2553113038419232e-07
geometry_spectral.avg_stable_rank,benchmark_arc_easy_acc,0.7113824902386586,3.003226832230403e-08,46,3.090647318860035e-07
geometry_spectral.avg_stable_rank,benchmark_hellaswag_acc,0.8355741951400025,5.082644440296713e-13,46,9.77740285751815e-12
geometry_spectral.avg_stable_rank,benchmark_piqa_acc,0.7952134282076134,4.084287718934862e-11,46,6.490465918568226e-10
geometry_spectral.avg_stable_rank,benchmark_winogrande_acc,0.7794843385246364,1.7465155495347325e-10,46,3.16801852535478e-09
geometry_spectral.avg_stable_rank,benchmark_mmlu_acc,0.6871434301845757,1.3354759850624205e-07,46,1.096890949528797e-06
geometry_spectral.avg_stable_rank,benchmark_mmlu_humanities_acc,0.7536312335899229,1.4969074593984945e-09,46,1.4589858037603994e-08
geometry_spectral.avg_stable_rank,benchmark_mmlu_formal_logic_acc,0.7028445154861984,5.1662444364704705e-08,46,4.904577510467421e-07
geometry_spectral.avg_stable_rank,benchmark_mmlu_high_school_european_history_acc,0.7124699868597255,2.7988348611702552e-08,46,4.44771365981621e-07
geometry_spectral.avg_stable_rank,benchmark_mmlu_high_school_us_history_acc,0.7232730623743178,1.3649986298592455e-08,46,1.7203689628053592e-07
geometry_spectral.avg_stable_rank,benchmark_mmlu_high_school_world_history_acc,0.652478347153599,8.949951820099847e-07,46,7.696958565285868e-06
geometry_spectral.avg_stable_rank,benchmark_mmlu_international_law_acc,0.6441977714197279,1.3609864962818954e-06,46,1.0697646546043714e-05
geometry_spectral.avg_stable_rank,benchmark_mmlu_jurisprudence_acc,0.6905817015343777,1.0902211584004444e-07,46,9.601827310731625e-07
geometry_spectral.avg_stable_rank,benchmark_mmlu_logical_fallacies_acc,0.6901721594326959,1.1170536163886001e-07,46,8.780281651398566e-07
geometry_spectral.avg_stable_rank,benchmark_mmlu_moral_disputes_acc,0.7180926654330293,1.9340070108475257e-08,46,2.208998632702408e-07
geometry_spectral.avg_stable_rank,benchmark_mmlu_moral_scenarios_acc,0.6632112371690698,5.09902800779756e-07,46,4.23566985647729e-06
geometry_spectral.avg_stable_rank,benchmark_mmlu_philosophy_acc,0.7347153165892532,6.1460320048522865e-09,46,8.31990628805004e-08
geometry_spectral.avg_stable_rank,benchmark_mmlu_prehistory_acc,0.7303516570293025,8.371575328590882e-09,46,7.034047776091879e-08
geometry_spectral.avg_stable_rank,benchmark_mmlu_professional_law_acc,0.7105628403581554,3.1664156390491124e-08,46,2.543571244115276e-07
geometry_spectral.avg_stable_rank,benchmark_mmlu_world_religions_acc,0.7401604173526117,4.143975265023692e-09,46,3.9340856087432715e-08
geometry_spectral.avg_stable_rank,benchmark_mmlu_other_acc,0.733771240364949,6.5743370721410175e-09,46,5.751849921240981e-08
geometry_spectral.avg_stable_rank,benchmark_mmlu_business_ethics_acc,0.6985715045404925,6.730035956358663e-08,46,7.342770573280869e-07
geometry_spectral.avg_stable_rank,benchmark_mmlu_clinical_knowledge_acc,0.7080557665525283,3.718535536113131e-08,46,3.124424686090458e-07
geometry_spectral.avg_stable_rank,benchmark_mmlu_college_medicine_acc,0.6558085326512522,7.534333222703608e-07,46,5.453066916630037e-06
geometry_spectral.avg_stable_rank,benchmark_mmlu_global_facts_acc,0.6372341526546272,1.9176708071101375e-06,46,1.5237145217364246e-05
geometry_spectral.avg_stable_rank,benchmark_mmlu_human_aging_acc,0.7405557101001885,4.025558608353811e-09,46,5.254791683404707e-08
geometry_spectral.avg_stable_rank,benchmark_mmlu_management_acc,0.6241901610610333,3.564455642453347e-06,46,2.551561876790014e-05
geometry_spectral.avg_stable_rank,benchmark_mmlu_marketing_acc,0.6976831031234165,7.106329922362364e-08,46,8.116761208198262e-07
geometry_spectral.avg_stable_rank,benchmark_mmlu_medical_genetics_acc,0.6684566127220074,3.841235249093192e-07,46,4.603185191946104e-06
geometry_spectral.avg_stable_rank,benchmark_mmlu_miscellaneous_acc,0.755959910714371,1.2470700576169677e-09,46,1.6278718073535773e-08
geometry_spectral.avg_stable_rank,benchmark_mmlu_nutrition_acc,0.7106066765555111,3.157482214906484e-08,46,2.6838598826705116e-07
geometry_spectral.avg_stable_rank,benchmark_mmlu_professional_accounting_acc,0.6772382935630334,2.3602697857053993e-07,46,1.8959969377479635e-06
geometry_spectral.avg_stable_rank,benchmark_mmlu_professional_medicine_acc,0.6349813479568083,2.1387618071978146e-06,46,1.48898560101105e-05
geometry_spectral.avg_stable_rank,benchmark_mmlu_virology_acc,0.7609967809097665,8.342834640796118e-10,46,1.5637466980569133e-08
geometry_spectral.avg_stable_rank,benchmark_mmlu_social_sciences_acc,0.6473000897394419,1.164920856921268e-06,46,8.110068061042352e-06
geometry_spectral.avg_stable_rank,benchmark_mmlu_econometrics_acc,0.6471007697049641,1.1766837950161968e-06,46,8.07216139549707e-06
geometry_spectral.avg_stable_rank,benchmark_mmlu_high_school_geography_acc,0.636456217041098,1.991503835307881e-06,46,1.3115218951441993e-05
geometry_spectral.avg_stable_rank,benchmark_mmlu_high_school_government_and_politics_acc,0.6415571901260932,1.5515390088592327e-06,46,1.1119362896824502e-05
geometry_spectral.avg_stable_rank,benchmark_mmlu_high_school_macroeconomics_acc,0.6552149522115875,7.770344496357496e-07,46,5.415315823976965e-06
geometry_spectral.avg_stable_rank,benchmark_mmlu_high_school_microeconomics_acc,0.6610928422096297,5.708035397003108e-07,46,4.0120902646243e-06
geometry_spectral.avg_stable_rank,benchmark_mmlu_high_school_psychology_acc,0.6306017408356762,2.63761279924412e-06,46,1.7528135965885925e-05
geometry_spectral.avg_stable_rank,benchmark_mmlu_human_sexuality_acc,0.7045792504375902,4.634229876417386e-08,46,5.37717784073192e-07
geometry_spectral.avg_stable_rank,benchmark_mmlu_professional_psychology_acc,0.7230617419539151,1.3847493171891226e-08,46,1.4460739298074982e-07
geometry_spectral.avg_stable_rank,benchmark_mmlu_public_relations_acc,0.6745905830097997,2.738304560917337e-07,46,2.116783279020763e-06
geometry_spectral.avg_stable_rank,benchmark_mmlu_security_studies_acc,0.5985626739558826,1.1135539994194455e-05,46,6.84040313929088e-05
geometry_spectral.avg_stable_rank,benchmark_mmlu_sociology_acc,0.6702656399703848,3.4791804414258e-07,46,2.85761899177782e-06
geometry_spectral.avg_stable_rank,benchmark_mmlu_us_foreign_policy_acc,0.6507409837396293,9.782955975204336e-07,46,8.769924214200907e-06
geometry_spectral.avg_stable_rank,benchmark_mmlu_stem_acc,0.6644051082766846,4.78300837790133e-07,46,3.4278226708292862e-06
geometry_spectral.avg_stable_rank,benchmark_mmlu_abstract_algebra_acc,0.6811408922946605,1.8908310471628574e-07,46,1.5357749949733877e-06
geometry_spectral.avg_stable_rank,benchmark_mmlu_anatomy_acc,0.6354494719010251,2.090964028497936e-06,46,1.329125830288688e-05
geometry_spectral.avg_stable_rank,benchmark_mmlu_astronomy_acc,0.7142945617155406,2.4848760167637653e-08,46,2.6325280699337863e-07
geometry_spectral.avg_stable_rank,benchmark_mmlu_college_biology_acc,0.6388992509907471,1.7680832193344034e-06,46,1.1643863363364404e-05
geometry_spectral.avg_stable_rank,benchmark_mmlu_college_chemistry_acc,0.6049758751454786,8.451641451680505e-06,46,5.235720255235973e-05
geometry_spectral.avg_stable_rank,benchmark_mmlu_college_computer_science_acc,0.6837462033787062,1.6275765178577892e-07,46,2.0513076457828345e-06
geometry_spectral.avg_stable_rank,benchmark_mmlu_college_mathematics_acc,0.672715689528272,3.0393112611952795e-07,46,2.5834145720159874e-06
geometry_spectral.avg_stable_rank,benchmark_mmlu_college_physics_acc,0.6702667284753145,3.478972489882966e-07,46,4.709497944637867e-06
geometry_spectral.avg_stable_rank,benchmark_mmlu_computer_security_acc,0.7167729475830767,2.110946370145689e-08,46,1.9783356366365368e-07
geometry_spectral.avg_stable_rank,benchmark_mmlu_conceptual_physics_acc,0.6692374594786634,3.68085905829066e-07,46,2.526028854192816e-06
geometry_spectral.avg_stable_rank,benchmark_mmlu_electrical_engineering_acc,0.6937101303228098,9.042380851208406e-08,46,1.2018146185878808e-06
geometry_spectral.avg_stable_rank,benchmark_mmlu_elementary_mathematics_acc,0.6587060282213091,6.474899272710071e-07,46,6.87840654377144e-06
geometry_spectral.avg_stable_rank,benchmark_mmlu_high_school_biology_acc,0.5992844467555947,1.079843541597082e-05,46,6.63332461266779e-05
geometry_spectral.avg_stable_rank,benchmark_mmlu_high_school_chemistry_acc,0.6283088140809374,2.9398172879377556e-06,46,1.9898207754467585e-05
geometry_spectral.avg_stable_rank,benchmark_mmlu_high_school_computer_science_acc,0.6592620820538092,6.288139619947892e-07,46,4.3364434548885934e-06
geometry_spectral.avg_stable_rank,benchmark_mmlu_high_school_mathematics_acc,0.7140037441215866,2.5326042070975744e-08,46,3.8569451570590146e-07
geometry_spectral.avg_stable_rank,benchmark_mmlu_high_school_physics_acc,0.6556234502807956,7.607198730179725e-07,46,6.699834062363108e-06
geometry_spectral.avg_stable_rank,benchmark_mmlu_high_school_statistics_acc,0.5882317651307399,1.715159426677086e-05,46,0.00014411282079321262
geometry_spectral.avg_stable_rank,benchmark_mmlu_machine_learning_acc,0.6825852777842217,1.7403502948101115e-07,46,1.2596000648576154e-06
geometry_spectral.avg_stable_rank,benchmark_boolq_acc,0.9151515151515152,0.00020447240614883226,10,0.00905131184552164
geometry_spectral.avg_stable_rank,benchmark_copa_acc,0.6018264882432639,0.06564599213625315,10,0.3041025199800319
geometry_spectral.avg_stable_rank,benchmark_openbookqa_acc,0.5896683773696627,0.07278593695976276,10,0.3078335168234553
geometry_spectral.avg_stable_rank,benchmark_sciq_acc,0.8753839828992931,0.0009053258282579362,10,0.009248251537896456
geometry_spectral.avg_stable_rank,benchmark_commonsense_qa_acc,0.7818181818181817,0.0075470077810678785,10,0.0911129666659831
geometry_spectral.avg_stable_rank,benchmark_triviaqa_exact_match,0.5878787878787878,0.07387770688865808,10,0.25027957843912735
geometry_spectral.avg_stable_rank,benchmark_nq_open_exact_match,0.6322217654272672,0.04984609950967957,10,0.2079770310406189
geometry_spectral.avg_stable_rank,benchmark_gsm8k_exact_match,0.8333333333333335,0.010175540123456752,8,0.11853611652588217
geometry_spectral.avg_stable_rank,benchmark_drop_em,-0.6123724356957945,0.14381080871160395,7,0.6495944012551362
geometry_spectral.avg_stable_rank,benchmark_truthfulqa_mc2_acc,0.8424242424242423,0.002220031225916843,10,0.03136384540444221
geometry_spectral.avg_stable_rank,benchmark_lambada_openai_acc,0.5835893219328621,0.07653771742823344,10,0.30615086971293376
geometry_spectral.avg_stable_rank,composite_benchmark,0.7191094394242019,1.807259450043984e-08,46,1.4517655582221452e-07
geometry_spectral.min_alpha,benchmark_arc_challenge_acc,-0.4026895325655577,0.005527818996287369,46,0.014483282029699163
geometry_spectral.min_alpha,benchmark_arc_easy_acc,-0.37664620955108613,0.009879404328218747,46,0.024153326300762223
geometry_spectral.min_alpha,benchmark_hellaswag_acc,-0.4492968205913945,0.0017345419123893002,46,0.0049336581243446635
geometry_spectral.min_alpha,benchmark_piqa_acc,-0.4215299198025911,0.003527602833285731,46,0.009309305671956208
geometry_spectral.min_alpha,benchmark_winogrande_acc,-0.432449105490438,0.002687143848587371,46,0.007555008281989878
geometry_spectral.min_alpha,benchmark_mmlu_acc,-0.45504734488345266,0.0014861675924531382,46,0.004564657605391782
geometry_spectral.min_alpha,benchmark_mmlu_humanities_acc,-0.41957869593293284,0.00369995430891927,46,0.009980319556531315
geometry_spectral.min_alpha,benchmark_mmlu_formal_logic_acc,-0.4160444505351996,0.004031013232330749,46,0.01197833606842999
geometry_spectral.min_alpha,benchmark_mmlu_high_school_european_history_acc,-0.352545527426223,0.016261589818427378,46,0.036576068176216656
geometry_spectral.min_alpha,benchmark_mmlu_high_school_us_history_acc,-0.43138831501923675,0.002760214515722499,46,0.008103280365434324
geometry_spectral.min_alpha,benchmark_mmlu_high_school_world_history_acc,-0.48733689322423995,0.000592680473691861,46,0.002166247131343752
geometry_spectral.min_alpha,benchmark_mmlu_international_law_acc,-0.5811212855340487,2.289435516252885e-05,46,0.00011954124017006136
geometry_spectral.min_alpha,benchmark_mmlu_jurisprudence_acc,-0.4741735476396511,0.000871558406449817,46,0.0028828470367186255
geometry_spectral.min_alpha,benchmark_mmlu_logical_fallacies_acc,-0.4356142482230947,0.002479155838971169,46,0.007337096835173783
geometry_spectral.min_alpha,benchmark_mmlu_moral_disputes_acc,-0.4950953183584574,0.00046873470476458654,46,0.0017047018367309093
geometry_spectral.min_alpha,benchmark_mmlu_moral_scenarios_acc,-0.4874722624970477,0.0005902871584090953,46,0.0021574995639852433
geometry_spectral.min_alpha,benchmark_mmlu_philosophy_acc,-0.45437157562533564,0.0015136143052410463,46,0.0044615002303677615
geometry_spectral.min_alpha,benchmark_mmlu_prehistory_acc,-0.47809723957275535,0.0007781670927842985,46,0.002494912915900536
geometry_spectral.min_alpha,benchmark_mmlu_professional_law_acc,-0.4361987602704143,0.0024423414550784786,46,0.007028943321505385
geometry_spectral.min_alpha,benchmark_mmlu_world_religions_acc,-0.4982724618388917,0.0004251084139891873,46,0.0014125193210277086
geometry_spectral.min_alpha,benchmark_mmlu_other_acc,-0.45813157522697623,0.0013664377095210438,46,0.004093712974015914
geometry_spectral.min_alpha,benchmark_mmlu_business_ethics_acc,-0.41209694277646836,0.004431205962113376,46,0.012131878495523886
geometry_spectral.min_alpha,benchmark_mmlu_clinical_knowledge_acc,-0.47273288093769283,0.000908288637299206,46,0.0028618922149384464
geometry_spectral.min_alpha,benchmark_mmlu_college_medicine_acc,-0.4522737166395586,0.0016017131641149693,46,0.0050686247747534306
geometry_spectral.min_alpha,benchmark_mmlu_global_facts_acc,-0.3055643010397757,0.03891517142025874,46,0.0856837057476179
geometry_spectral.min_alpha,benchmark_mmlu_human_aging_acc,-0.4698516505323654,0.0009859255875577404,46,0.003188989400463311
geometry_spectral.min_alpha,benchmark_mmlu_management_acc,-0.5045979610556866,0.0003489722464225745,46,0.0014016412754664941
geometry_spectral.min_alpha,benchmark_mmlu_marketing_acc,-0.4237094878264135,0.0033434537161575436,46,0.009257820706481684
geometry_spectral.min_alpha,benchmark_mmlu_medical_genetics_acc,-0.5483612968840644,7.970665507158996e-05,46,0.0003552778344959284
geometry_spectral.min_alpha,benchmark_mmlu_miscellaneous_acc,-0.4741988219769021,0.0008709260677941497,46,0.002756047426655945
geometry_spectral.min_alpha,benchmark_mmlu_nutrition_acc,-0.5238286192689176,0.00018695140165790464,46,0.00069725242148943
geometry_spectral.min_alpha,benchmark_mmlu_professional_accounting_acc,-0.429743926657836,0.0028769491877996024,46,0.008726347951375557
geometry_spectral.min_alpha,benchmark_mmlu_professional_medicine_acc,-0.4710817732584448,0.0009520816776932981,46,0.003282885407517929
geometry_spectral.min_alpha,benchmark_mmlu_virology_acc,-0.4626225275867212,0.0012074399994938918,46,0.0034343915938911864
geometry_spectral.min_alpha,benchmark_mmlu_social_sciences_acc,-0.5275267579562543,0.0001650913822567785,46,0.0006935735656879603
geometry_spectral.min_alpha,benchmark_mmlu_econometrics_acc,-0.4132227171300736,0.004313680474986968,46,0.012365884028295974
geometry_spectral.min_alpha,benchmark_mmlu_high_school_geography_acc,-0.5053528023318054,0.0003407622662493797,46,0.001304173909048673
geometry_spectral.min_alpha,benchmark_mmlu_high_school_government_and_politics_acc,-0.5497624577433108,7.576551515933382e-05,46,0.0003440036744190871
geometry_spectral.min_alpha,benchmark_mmlu_high_school_macroeconomics_acc,-0.4793041770886004,0.0007513003394024893,46,0.0025663577014169146
geometry_spectral.min_alpha,benchmark_mmlu_high_school_microeconomics_acc,-0.48690181458642623,0.0006004317607235608,46,0.002080168801369303
geometry_spectral.min_alpha,benchmark_mmlu_high_school_psychology_acc,-0.512662327891262,0.0002698224280885498,46,0.0010661632158525942
geometry_spectral.min_alpha,benchmark_mmlu_human_sexuality_acc,-0.542957725736129,9.671980499928859e-05,46,0.00040633435318666644
geometry_spectral.min_alpha,benchmark_mmlu_professional_psychology_acc,-0.47745358181026604,0.0007928441595992608,46,0.0027598527650812364
geometry_spectral.min_alpha,benchmark_mmlu_public_relations_acc,-0.5578439678833973,5.6300385854325826e-05,46,0.0002435241541982969
geometry_spectral.min_alpha,benchmark_mmlu_security_studies_acc,-0.5567449201741411,5.8646980504197976e-05,46,0.0002896685320849238
geometry_spectral.min_alpha,benchmark_mmlu_sociology_acc,-0.5621201500906894,4.796367742176596e-05,46,0.00021913405122069322
geometry_spectral.min_alpha,benchmark_mmlu_us_foreign_policy_acc,-0.5885296095820767,1.6942834026965222e-05,46,8.660987184413691e-05
geometry_spectral.min_alpha,benchmark_mmlu_stem_acc,-0.4329159221116856,0.0026555323018022238,46,0.00812215109881768
geometry_spectral.min_alpha,benchmark_mmlu_abstract_algebra_acc,-0.25752871957053186,0.08401450107967476,46,0.15353650072310562
geometry_spectral.min_alpha,benchmark_mmlu_anatomy_acc,-0.4692416937304016,0.0010031024426168324,46,0.0034917518359662116
geometry_spectral.min_alpha,benchmark_mmlu_astronomy_acc,-0.46615660698661193,0.001094143875625691,46,0.0035076958856035357
geometry_spectral.min_alpha,benchmark_mmlu_college_biology_acc,-0.47303138271171935,0.0009005665051422268,46,0.0031649717079758064
geometry_spectral.min_alpha,benchmark_mmlu_college_chemistry_acc,-0.4912022326733391,0.0005276636432244654,46,0.00200896939165148
geometry_spectral.min_alpha,benchmark_mmlu_college_computer_science_acc,-0.36358596634154017,0.01300065471021528,46,0.03277061583850817
geometry_spectral.min_alpha,benchmark_mmlu_college_mathematics_acc,-0.36630767903344136,0.012288593941605915,46,0.03290462333814624
geometry_spectral.min_alpha,benchmark_mmlu_college_physics_acc,-0.41087525067925545,0.0045619044407909665,46,0.013723259860980233
geometry_spectral.min_alpha,benchmark_mmlu_computer_security_acc,-0.4759524901557028,0.0008280406315237205,46,0.0026665096988715406
